Name,Description,Footprint,Manufacturer,MPN,Storage,Total Stock,URL,Meta-Parts,Lead-Times
90380A005,"Phillips Rounded Head Thread-Forming Screws for Plastic, Zinc-Plated Steel, Number 2 Size, 1/4"" Long",,McMaster Carr,90380A005,Office 9,528,https://PARTSBOX.COM/IF8YRV595GRK66AM2KESNRXXYHC,,
NBOX-BROWN-10x10x6 (S-19857),10x10x6 BROWN BOX,,,S-19857,large storage room,29,https://PARTSBOX.COM/I23E3G6A834H7PAN2STBZ4XS7MB,,
142-0701-231,Conn SMA RCP 0Hz to 18GHz 50Ohm Solder ST Thru-Hole Gold Over Nickel,,Cinch Connectivity Solutions,142-0701-231,shelf3,90,https://PARTSBOX.COM/I2GSF446JM4JV294KQEHTPB9Y5E,,
768661,18GA yellow wire 30m,,Techspan,,shelf4,1,https://PARTSBOX.COM/I494PHX8CD4KTAA8Z2X96Z1BSF2,,
NPCB-CW303-02,XMEGA TARGET PCB,,,,shelf5,136,https://PARTSBOX.COM/I0EWEYGP74YJZX82ZYXYDFZ738N,,
ATSAML11E16A-AU,MCU 32-Bit ARM Cortex M23 RISC 64KB Flash 3.3V 32-Pin TQFP Tray/Tube,,Microchip,ATSAML11E16A-AU,Office 9,1,https://PARTSBOX.COM/I1XDRMY52WWKA2976QEV4Q9ZB0R,,
NCABLE-CW550-LCDBRD,Chipshover LCD board cable,,,,shelf2,2,https://PARTSBOX.COM/I0CE147MPFAG8WAHBSWMAHJA319,,
SI8631BB-B-IS,Digital Isolator CMOS 3-CH 150Mbps Automotive Medical 16-Pin SOIC W Tube,,Silicon Labs,SI8631BB-B-IS,,0,https://PARTSBOX.COM/IC9E9MTJ8RRJYHAM9CRQ5ZCKN24,,
R-51-TH-01 (CF14JT51R0),"Metal Film Resistor 51 OHM, 250mW",,,CF14JT51R0,"shelf3,shelf4",1720,https://PARTSBOX.COM/I8YG26H8274HJRAM9K2SB2VG6HK,,
NSLEEVE-CW1173-2PART (TOP COVER),CWLITE 2PART SLEEVE COVER,,,,packaging area,56,https://PARTSBOX.COM/I4N1KMP1E7JJ9H8N1WPG0NJDT1Z,,
DWP-125-1-0-STK,Heat Shrink Tubing; Dual; 25.4mm; Flame-Retardant; Polyolefin; DWP-125 Series,,TE Connectivity / Raychem,DWP-125-1-0-STK,shelf4,1,https://PARTSBOX.COM/I8RF74V85M4J99AWCXP4N8XYAN7,,
FTSH-105-01-L-DV-007-K,Conn Unshrouded Header HDR 10 POS 1.27mm Solder ST SMD Tube,,Samtec,FTSH-105-01-L-DV-007-K,shelf3,2,https://PARTSBOX.COM/IF9S9Y2Y9D0GX3AF5B0J4ZP3FP5,,
NCASE-PHYWHISPERER-USB (MAROON),Hammond MAROON CASE (TEMPORARY) replacement,,,,shelf3,58,https://PARTSBOX.COM/I968XJ30W6AHP8ACY6VG9EZ78QE,,
NSLEEVE-COVER-STANDARD (BACK COVER ONLY),STANDARD BACK COVER ONLY,,,,packaging area,2,https://PARTSBOX.COM/I56F132S6GCK008AJPXMK8G5FJG,,
RCHIP-12K-0603 (RC0603FR-0712KL),Res Thick Film 1.6 x 0.8 mm 12K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-0712KL,Office 9,4000,https://PARTSBOX.COM/I1CB89QDEHAKYRAT1V6CN9F4BQ8,,
ACM PLUG US,"INTERCHANGEABLE AC INPUT PLUG, BLK, USA",,XP Power,ACM PLUG US,shelf3,5,https://PARTSBOX.COM/IB37H7JJPFJKETA7WG79XY8KDFB,,
GRT188R61C106KE13D,"Multilayer Ceramic Capacitor, 10 uF, 16 V, ï¿½ 10%, X5R, 0603 [1608 Metric]",,Murata,GRT188R61C106KE13D,Office 9,910,https://PARTSBOX.COM/I7N2YA1CVSWG8MAAM24XH7JY1ZS,CCHIP-10uf-0603-16V,
STM32F215RGT6,"High-performance ARM Cortex-M3 MCU with 1 Mbyte Flash, 120 MHz CPU, ART Accelerator, HW crypto",,STMicroelectronics,STM32F215RGT6,,0,https://PARTSBOX.COM/I1EHYA4ZHREHDPAS3EXBEG5Z76Y,,
VEL05US050-EU-BB,"Adaptor, Ac-Dc, Level Vi, 5v, 1a, Eu, Usb",,XP Power,VEL05US050-EU-BB,shelf3,14,https://PARTSBOX.COM/IABPGZJ186TJ8997QTTJP1XY4DZ,,
CB-POWER-C5-UK-CCC-6FT (399014-01),AC Power Cords 250V/2.5A 6'Cord CCC Plug GB 2099 GB 1002,,Qualtek,399014-01,shelf3,4,https://PARTSBOX.COM/I9NNF9W2WPAGDHACDP8ZHEV4VDE,,
CF14JT1K00,Res Carbon Film 1K Ohm 5% 1/4W -400ppm/°C to 0ppm/°C Conformal AXL Thru-Hole T/R,,Stackpole Electronics,CF14JT1K00,shelf4,5000,https://PARTSBOX.COM/I0ENNKBBA64G27BHM9SSJJ7QK2T,,
RED (20 AWG wire) (78-22042),"120mm long, RED",,,78-22042,shelf2,1,https://PARTSBOX.COM/IAPHYT9NFFJG798S00EWP0433H1,,
NBOX-CW1200-ENDCOVER,end side covers A&B,,,,shelf3,10,https://PARTSBOX.COM/IC7YAK8TN16G2V8AJE4RQ7JSKCV,,
NPCB-CW308-IMXRT1062-02,IMXRT1062-02 PCB,,,,PROTO,18,https://PARTSBOX.COM/I9P19QKY18RGTQBRMW6QDGQY31T,,
CCHIP-10p-1206-1KV (GRM31A7U3A100JW31D),"Smd Multilayer Ceramic Capacitor, Grm Series, 10 Pf, 5%, U2J, 1 Kv, 1206 [3216 Metric] Rohs Compliant: Yes",,Murata,GRM31A7U3A100JW31D,Parts Kit: ChipSHOUTER SMT,71,https://PARTSBOX.COM/IBNKJ0J0A4CHQTBNQQSKHESKH1R,,
SCREW-4-40-3/8-CAPHEAD....(92196A108) (92196A108),"4-40 Screw, 3/8"", Stainless Steel CAP HEAD",,,92196A108,shelf3,924,https://PARTSBOX.COM/IFFHR2D7SECJJCBBZSEBPD7Y8KV,,
NLABEL-1MM/CW,INJECTION TIP LABEL 1MM/CW (BLACK),,,,shelf3,67,https://PARTSBOX.COM/IFVART7EVPEJPDB09ATHFHQD6R9,,
LSA676-P2S1-1-Z,LED Uni-Color Super Red 645nm Automotive 2-Pin SMD T/R,,Osram,LSA676-P2S1-1-Z,"Bittele - CW520 Build,Office 9,Parts Kit: ChipSHOUTER SMT",3713,https://PARTSBOX.COM/I94NPZBVDWMG4Q8N76SB0A90XT7,,
NPCB-CWTARG-NOTDUINO-02,CW-Target - NOTDUINO Blank PCB,,,,shelf4,141,https://PARTSBOX.COM/I5FA1AP8CNWJQT9R0A3VB7VXQA2,,
RCHIP-110R-0805 (ERJ-6ENF1100V),"SMD Chip Resistor, 110 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Precision",,Panasonic,ERJ-6ENF1100V,Parts Kit: ChipSHOUTER SMT,968,https://PARTSBOX.COM/I7H9H6EPS4RGQY904WBG5Y3CHCC,,
835-47-014-10-001000,CONN RCPT 14POS 0.1 GOLD PCB,,Mill-Max,835-47-014-10-001000,shelf3,1,https://PARTSBOX.COM/IBA1ZRXD064HB0BM43ME762TFTP,,
RCHIP-13K-0603 (RC0603FR-0713KL),Res Thick Film 1.6 x 0.8 mm 13K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-0713KL,Office 9,1972,https://PARTSBOX.COM/ICPB8BSRHYJGPFB8CV8CMBSGBJQ,,
NUT-4/40-LOCK (91831A005),4-40 S/S NylokNut,,,91831A005,shelf3,298,https://PARTSBOX.COM/I1590SVJ90CJG48NPYCKFRZWVMV,,
353130360,CONN HEADER VERT 3POS 3.96MM,,,353130360,,0,https://PARTSBOX.COM/IA4FH517M14JSR8FBVW7GZ52GBC,,
KRM55TR72J474MH01K,KRM Series 2220 0.47 uF 630 V ±20% X7R Metal Terminal Multilayer Ceramic Capacitor,,Murata,KRM55TR72J474MH01K,Office 9,259,https://PARTSBOX.COM/IF96XS2B0K6GYZ9B6ATN82QWG6Z,,
364012-01,Cable Assembly AC Power 1.82m CEE 7/VII to C5 3 to 3 POS M-F 19AWG,,Qualtek,364012-01,shelf3,4,https://PARTSBOX.COM/I3PHFMQ03R4HFJ9D8H30RC92CF7,,
NBOX-ORANGE-13X8X4,ORANGE BOX  FOR CWNANO KIT OF 20 pcs (13X8X4),,,,large storage room,2,https://PARTSBOX.COM/I7NDFRK75MWJH19N1ZNYN4KKBSJ,,
NPCB-CW308T-M2351-02,UFO TARGET M2351 PCB,,,,shelf5,12,https://PARTSBOX.COM/I0NM87HYM32KBVAY11P98Y9NEV6,,
ATSAMD11D14A-MUT,MCU 32-Bit SAM D11 ARM Cortex M0+ RISC 16KB Flash 1.8V/2.5V/3.3V 24-Pin QFN EP T/R,,Microchip,ATSAMD11D14A-MUT,shelf3,2,https://PARTSBOX.COM/IBFZTZQQHM0K2B9YACK6VJQPMYA,,
LT3751EFE#PBF,LT3751 - High Voltage Capacitor Charger Controller with Regulation,,Analog Devices,LT3751EFE#PBF,"Office 9,Parts Kit: ChipSHOUTER SMT",57,https://PARTSBOX.COM/I2TYBD5XWP4GW98WQD1P2DMFJM4,,
83259,"ZEBRA 2"" X 1"" Z-SELECT 4000T LABEL - 83259",,,,packaging area,4,https://PARTSBOX.COM/IDZ0V9T1MFPK9J8CHM53WWMTE8R,,
NAE-CW522-03,USB INTERFACE board REV. 03   (TESTED),,,,shelf4,3,https://PARTSBOX.COM/I30DX538CRAHA1A3VA7PW5N56KX,,
PFS35-0R1F1,RES 0.1 OHM 1% 35W TO263 DPAK,,Riedon,PFS35-0R1F1,Parts Kit: ChipSHOUTER SMT,124,https://PARTSBOX.COM/I5VWSKC9QJ8GNHB89VSXA19RJB7,,
3450-28 Plano 8 Compartment,8 Compartment Plastic Storage Thing,,,,,0,https://PARTSBOX.COM/I89HAQWJWMJJN1B5X2K26ZWTSQQ,,
STM32F098RCT6,MCU 32-bit ARM Cortex M0 RISC 256KB Flash 2.5V/3.3V 64-Pin LQFP Frame,,STMicroelectronics,STM32F098RCT6,Office 9,100,https://PARTSBOX.COM/I83NEKEBQKJJ5R9KAFR00TRZ3D0,,
CB-MCX-SMA-12,"SMA Male to MCX Male, 15cm (12"")",,,,shelf3,322,https://PARTSBOX.COM/I3PX31R7E7RH159S7EFSABRHJ9E,,
CCHIP-2u2-0603-10V (CL10B225KP8NNNC),CL10 Series 2.2 uF 10 V ±10% Tolerance X7R SMT Multilayer Ceramic Capacitor,CAPC160X80X90L30N,Samsung,CL10B225KP8NNNC,Office 9,7105,https://PARTSBOX.COM/IF43VHZJWRAGHHBEE5613ZC7XYR,,
"PINK-BUBBLE-WRAP-3/16"", 12"" X 750' (S-1266P)","ANTI-STATIC INDUSTRIAL BUBBLE ROLL - 3/16"", 12"" X 750',PERFORATED",,,S-1266P,large storage room,1,https://PARTSBOX.COM/IDQ2349YJYTJQJBDA55DJSS288Y,,
3568,Auto Fuse Holder; Mini; THM; 1 Fuse; 30Amp; Hi-Temp Nylon; UL94V-0; Brass/Tin,,Keystone,3568,Office 9,25,https://PARTSBOX.COM/ID772YT0KMYJPG896F12G94XP0X,,
NSLEEVE-SCAPACK-L1 (BOTTOM COVER),SCAPACK-L1-KIT SLEEVE,,,,packaging area,133,https://PARTSBOX.COM/I06WRQ318H8K7X8SN4XR8GQYNT4,,
NAE-CWNANOLEARNIN (KIT),Development Boards & Kits - ARM ChipWhisperer-Nano Classroom Pack (20),,,,,0,https://PARTSBOX.COM/IFWM597ESKWJXZ9P3F8EFN86N2S,,
SSHL-002T-P0.2,"Contact; female; 0.05÷0.13mm2; 26÷30AWG; ACHL, GH, SHL; tinned; 1A",,JST,SSHL-002T-P0.2,Office 9,2649,https://PARTSBOX.COM/IBK7542A5D8KYNB5RWCQSE6YMAT,,
219-6MST,Switch DIP ON OFF SPST 6 Raised Slide 0.1A 20VDC Gull Wing 2000Cycles 2.54mm SMD Tube,,CTS Components,219-6MST,shelf3,3,https://PARTSBOX.COM/I0PF51GSMKWHFR9J1S1QHZ79KJP,,
STM32F415RGT6,MCU 32-bit STM32F ARM Cortex M4F RISC 1024KB Flash 2.5V/3.3V 64-Pin LQFP Tray,,STMicroelectronics,STM32F415RGT6,,0,https://PARTSBOX.COM/IDM2TB83CHCJNA88MMWJWZH6HQF,,
ERJ-PB3D1401V,Res Thick Film 0603 1.4K Ohm 0.5% 0.2W(1/5W) ±50ppm/C Pad SMD Automotive T/R,,Panasonic,ERJ-PB3D1401V,Parts Kit: ChipSHOUTER SMT,910,https://PARTSBOX.COM/I7AWXPXSJXMGRD8SP8BWGHC99C2,,
CDBA140-HF,Diode Schottky 40V 1A 2-Pin SMA T/R,,Comchip,CDBA140-HF,shelf3,140,https://PARTSBOX.COM/I24BG23YKW0HK1BW27PJP5A3858,,
SMMBT5401LT1G,Trans GP BJT PNP 150V 0.5A 300mW Automotive 3-Pin SOT-23 T/R,,onsemi,SMMBT5401LT1G,,0,https://PARTSBOX.COM/I54YH83PCW4KPEARMS174YCNR3N,MMBT5401LT1G,
1551RBK,Enclosure; Box-Lid; Handheld; ABS; UL94HB; Black; 1.97x1.97x0.79 In; 1551 Series,,Hammond,1551RBK,shelf3,111,https://PARTSBOX.COM/IBMKVSDZAV8HR08TFJ8Q6D83FP1,,
NAE-CW305-04-7A35-0.10-M,"Artix 7A35 FPGA Target - 100 mOhm, VCC INT Cap.",,,,,0,https://PARTSBOX.COM/I50S7AXHVB4HQH9MBAEN2XBCR9D,,
PHA-13LN+,IC RF AMP CATV 1MHZ-1GHZ SOT89,,Mini-Circuits,PHA-13LN+,Office 9,71,https://PARTSBOX.COM/IAC3JTD51P4K649KQ9K0Y60Q2ET,,
CCHIP-4u7-0805-35V (GRT21BC8YA475KE13L),Cap Ceramic 4.7uF 35V X6S 10% Pad SMD 0805 105C Automotive T/R,,Murata,GRT21BC8YA475KE13L,shelf3,50,https://PARTSBOX.COM/I6E58P3Q8RCKJZAP884RRGYG7YY,,
CCHIP-100n-0402-50V (C1005X5R1H104K050BB),C Series 0402 0.1 uF 50 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor,402,TDK,C1005X5R1H104K050BB,Office 9,15,https://PARTSBOX.COM/IF3VSAGE1Q8KGZA6YJ2E1AP3JNB,,
XY80,BIG XY TABLE,,,,shelf3,10,https://PARTSBOX.COM/I4NCS0KB94EHGGAM4X4578GTWJ2,,
RCHIP-1R-0402 (CRCW04021R00FKEDHP),Res Thick Film 0402 1 Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD Automotive T/R,,Vishay,CRCW04021R00FKEDHP,Office 9,300,https://PARTSBOX.COM/I1TDRJEGTN8J74BCFFQASPX335K,,
FBMH3225HM102NTV,Ferrite Beads Power Chip 1KOhm 30% 100MHz 2A 0.1Ohm DCR 1210 Automotive T/R,,Taiyo Yuden,FBMH3225HM102NTV,"Parts Kit: ChipSHOUTER SMT,shelf3",343,https://PARTSBOX.COM/I6HBX0EAABYK2G81E46AEPT2KMF,,
CDBA140-G,DIODE SCHOTTKY 40V 1A DO214AC,,Comchip,CDBA140-G,shelf3,245,https://PARTSBOX.COM/I1HNXYW1EKCJXZA0CDT1JGCKBSB,,
CB-USB-C-C-36BBLK (38792),"Monoprice Stealth Charge & Sync USB 2.0 Type-C to Type-C Cable, Up to 3A/60W, 3ft, Black",,,38792,shelf3,10,https://PARTSBOX.COM/IE8GWTHF5QPG5PB0QJEB8QXF0GP,,
Eye Wash Station G1814P (G1814P),"Guardian Equipment G1814P, Wall Mounted Eyewash with Plastic Bowl",HTTPS://WWW.GESAFETY.COM/PRODUCTS/EYEWASH/G1814P.SHTML,Guardian Equipment,G1814P,,0,https://PARTSBOX.COM/IBCYC13C32JG5Q8GE3FBYQ122BX,,
NUT-4-40 (7248-3),#4-40 Thread Stainless Steel Hex Nut,,Keystone,Mar-48,"shelf2,shelf3",19,https://PARTSBOX.COM/IDBSQSANC8PJGVAE9R0YYWFMEXE,,
NPCA-CHIPSHOVER/PARTS (Completing JLPCB Build),Various extra parts not mounted by JLPCB,,,,,0,https://PARTSBOX.COM/I3DMXC8EAPRK5XAMXZ85Y3XG0ZG,,
PS1240P02BT,PS Series Ø12.2 x 6.5 mm 4 KHz 70 dB PC Pin Through Hole Piezo Buzzer,,TDK,PS1240P02BT,,0,https://PARTSBOX.COM/I9TJR4FYRDJHR19DKSSXGW123FR,,
71600-006LF,Connector IDC Connector Receptacle 6 Position 2.54mm IDT Right Angle Cable Mount Tube,,Amphenol Communications Solutions,71600-006LF,shelf3,89,https://PARTSBOX.COM/ICDWMD45B76GKV8WK1YQJVY13Y9,,
HV732HTTE206J,"Res, 20M, 5%, 0.5W, 2010 Rohs Compliant: Yes",,KOA Speer,HV732HTTE206J,Office 9,417,https://PARTSBOX.COM/IBJJVJFP0XEJY3ACVMKGW8HD0WP,,
RCHIP-1K3-0603_0.5%_0.2W (ERJ-PB3D1301V),Res Thick Film 0603 1.3K Ohm 0.5% 0.2W(1/5W) ±50ppm/C Pad SMD Automotive T/R,,Panasonic,ERJ-PB3D1301V,Office 9,150,https://PARTSBOX.COM/I7727BX4PXRH6M86ZNK7GCWMRW2,,
NPCB-CW308T-MPC5Y-01,MPC5Y-REV. 1 PCB,,,,,0,https://PARTSBOX.COM/IF1TN0WQ8WRGPMB57383W30M403,,
NAE-PicoEMP (TESTED&KITTED),PicoEMP,,,,shelf5,4,https://PARTSBOX.COM/I10H4FGSHDAHQKBSSVJA3P320S6,,
NAE-SONATA,Sonata boards Rev.06,,,,packaging area,19,https://PARTSBOX.COM/IEFWF5AR6JAG5CB6K01HBM74C4E,,
CCHIP-22u-0805-10V-THICK (LMK212BBJ226MG-T),Capacitor: ceramic; MLCC; 22uF; 10V; X5R; ±20%; SMD; 0805,,Taiyo Yuden,LMK212BBJ226MG-T,Office 9,424,https://PARTSBOX.COM/IA00VQNZBJMG92AMKYPGTA68QV8,,
ATSAM4S16BA-MUR,MCU 32-bit SAM4S ARM Cortex M4 RISC 1024KB Flash 1.8V/2.5V/3.3V 64-Pin QFN EP,,Microchip,ATSAM4S16BA-MUR,shelf3,1,https://PARTSBOX.COM/IC2364H6KPMJBA9DB6B1ZHVNX8S,,
83340,"ZEBRA 4"" X 1"" Z-SELECT 4000T LABEL - 83340",,,,packaging area,12,https://PARTSBOX.COM/I63BSYWF2EMKR98VN63EFMJVFAT,,
NLABEL-F303,STM32F3 LABEL,,,,shelf5,4,https://PARTSBOX.COM/ICGH9SM15JYHQZAFY3J90E3701T,,
MT25QL256ABA1EW9-0SIT,NOR Flash Serial-SPI 3V/3.3V 256M-bit 32M x 8 8-Pin WPDFN T/R,,Micron,MT25QL256ABA1EW9-0SIT,Office 9,66,https://PARTSBOX.COM/I73ZNV55D8RKXQ880Q43G7272EB,,
NAE-CW308-04,UFO Board Kit,,,,shelf5,1,https://PARTSBOX.COM/I4M9QSZFX0YH63AEY8DFA7ZPXYC,,
"LM75BDP,118",LM75 Series 5.5 V Digital Temperature Sensor/Thermal Watchdog - TSSOP - 8,"8-TSSOP, 8-MSOP (0.118"", 3.00MM WIDTH) ",NXP Semiconductors,"LM75BDP,118","Parts Kit: ChipSHOUTER SMT,SMDREELRACK",5024,https://PARTSBOX.COM/IAME4G8Y1Q2JS680X6N58VVT8D9,,
NLABEL-PHYWHISPERERUSB-TOP,Phywhisperer top label,,,,packaging area,104,https://PARTSBOX.COM/I6Y62CWKG00JCYA0GHZB3ZD3E3K,,
RCHIP-30K-0603 (RC0603FR-0730KL),Res Thick Film 1.6 x 0.8 mm 30K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,,Yageo,RC0603FR-0730KL,Office 9,4500,https://PARTSBOX.COM/IAZ4Q6QCYVTKG38G01CF4C4YQ7V,,
NPCB-CW308T-S6LX9-03,BLANK PCB S6LX9 rev. 3,,,,shelf5,63,https://PARTSBOX.COM/I62FAQWAAJEGJ98C6CDT980C0PG,,
920-0009-01,"PROTOBOARD,5"" JUMPERS (YELLOW female-female)",,SchmartBoard,920-0009-01,,0,https://PARTSBOX.COM/I9WPHE2G4G2K3E8XTT3MRYZF513,,
RUW3216FR100CS,Res 1206 0.1 Ohm 1% 1W ±150ppm/C Pad SMD Automotive T/R,,Samsung,RUW3216FR100CS,shelf3,16,https://PARTSBOX.COM/IDDBNFYRA5WJ77BA2PHSR7DB403,,
RCHIP-5R1-1206 (CRCW12065R10FKEAHP),Res Thick Film 1206 5.1 Ohm 1% 1/2W ±100ppm/°C Molded SMD Paper T/R,,Vishay,CRCW12065R10FKEAHP,shelf3,254,https://PARTSBOX.COM/IFQJBFF1XGCKTXBYZH0G8M3TEYD,,
CCHIP-10u-0805-16V,,,,,,1672,https://PARTSBOX.COM/I7NK04QE45GJBX9XTFVMCHXDXX2,,
NPCB-CHIPSHOVER MAIN,CHIPSHOVER MAIN BOARD PCB,,,,PROTO,9,https://PARTSBOX.COM/I6FRJ16XWYYHW49ER1P4P8EQM8H,,
NLABEL-CW506-SIDE-01,Side label (6-pin connectors) for CW506,,,,packaging area,34,https://PARTSBOX.COM/IB4H6F6YX6AGV5B9Z02K55JGNPN,,
S2B-XH-A(LF)(SN),XH Series 2.5mm 2 Position Through Hole Shrouded Header Connector,S2B-XH-A(LF)(SN),JST,S2B-XH-A(LF)(SN),Office 9,174,https://PARTSBOX.COM/I4EJVY1PGRAJK38E9GCTKF5ZB0C,,
NPCA-CW308-BOARDXMEGA (TESTED),CW308 UFO Board Tested w/ XMEGA Target (TESTED),,,,,0,https://PARTSBOX.COM/I6R1RRT4KXYHZGA4FTFTEQS2MPG,,
UUD1C221MCL1GS,220uF 16 V Aluminium Electrolytic Capacitor; UD Series 2000h 6.3 (Dia.) x 7.7mm,,Nichicon,UUD1C221MCL1GS,,0,https://PARTSBOX.COM/I0NCCE7T6P0HY2AN8NQCJQANCTX,,
NBOX-ORANGE-CW1200-KIT,PRO KIT ORANGE  (15 x 14 x 6  ),,,,,0,https://PARTSBOX.COM/I2W6AQDA0W6HKYAW359WJ3SVG1P,,
NLABEL-HPF,HIGH PASS FILTER LABEL,,,,packaging area,176,https://PARTSBOX.COM/IDJGW5BPC6YJ8398M8T0BF5YETN,,
CB-USB-C-C-72RED (38893),"Monoprice 38893 - USB C, 2.0 only, red, braided",,Monoprice,38893,,0,https://PARTSBOX.COM/I6TNT95V7GJJ8KBCH0DQ0Q7HDD0,,
LCHIP-2n-0402 (MLG1005S2N0BTD25),"Inductors for High Frequency Circuits, Multilayer Ceramic, Automotive",,TDK,MLG1005S2N0BTD25,Office 9,500,https://PARTSBOX.COM/I9DBM2GY1VCKRB9VH7JS3Z0H7QC,,
NLABEL-CW1200-CASE-BOTTOM,CW1200 case bottom label,,,,shelf3,33,https://PARTSBOX.COM/I7NZ77R3XWJH4WBZKTESF544SXT,,
DMP2123LQ-7,DMP2123LQ Series 20 V 3 A P-Channel Enhancement Mode Transistor - SOT-23-3,,Diodes Inc.,DMP2123LQ-7,"Office 9,shelf3",938,https://PARTSBOX.COM/I70MFQZA51MGTMA3KB3HGV14RJY,SOT23-LOGICLEVEL-PCHANNEL-MOSFETS,
NPCA-CW552-CSDRV-03,Chipshover driver board,,,,shelf2,36,https://PARTSBOX.COM/I3WX2YK02NPKQQ96E9Y6YRP62JD,,
P82B715D,Nickel/Palladium/Gold (Ni/Pd/Au) P82B715 Tube BIPOLAR signal buffer 5V 1.75mm -40C~85C 22mA,,Texas Instruments,P82B715D,shelf3,46,https://PARTSBOX.COM/IA30Z0PNXB0GS6ANAMDRJA6T87X,,
PRT-09925,Battery Holder 2 Cells AA Size,,SparkFun,PRT-09925,Office 9,56,https://PARTSBOX.COM/IBT4MHH0VXJGQRB1GER7YCW08PB,,
3240076,Cable lug; Circular; M3 Stud; Crimp; 14-18 AWG; Non-Insulated; Copper,,Phoenix Contact,3240076,shelf3,61,https://PARTSBOX.COM/I82FRKTMRKMHGJASMCQTHKXK0GR,,
S-130,"Lock and Press Envelopes - 6 x 9""",,,,packaging area,1,https://PARTSBOX.COM/ID3276AMM2WGB9A0PYN7QYCFS87,,
SONATA lowRISC sticker,lowRISC sticker for SONATA,,,,shelf4,11,https://PARTSBOX.COM/IDP70F4NPK4GMZ9AH49D5GGJSJW,,
RCHIP-4K7-0603_A (CR0603-FX-4701ELF),Res Thick Film 0603 4.7K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper Tape on Plastic Reel,603,Bourns,CR0603-FX-4701ELF,Office 9,3544,https://PARTSBOX.COM/I0ERAK4PXHTHNR9FWH12QAT1QRM,RCHIP-4K7-0603,
CPT-9019S-SMT-TR,"9 mm, 25 Vp-p Vdc, 65 dB, Surface Mount (SMT), Piezo Audio Transducer Buzzer",,CUI Devices,CPT-9019S-SMT-TR,"Parts Kit: ChipSHOUTER SMT,shelf3",1721,https://PARTSBOX.COM/IDJD7D3VNYTJC3B9GYM22R0W9J6,,
RCHIP-4K7-0603,,,,,,7544,https://PARTSBOX.COM/I210H3WHNAYJTK85AS2371XED62,,
CB-USB-ABMICRO-72 (5458) (5458),"USB Cable: A-Micro B, w/Ferrite, 6 Foot",,Monoprice,5458,shelf4,182,https://PARTSBOX.COM/ICEETRN85TMH7S80RG2XJDRP9E3,,
NAE-CW308T-STM32F0,Development Boards & Kits - ARM STM32F0 Target for CW308 (TESTED),,,,shelf5,10,https://PARTSBOX.COM/IEH0B76F8A4G1G8WQ6Y8RJ489X9,,
SM08B-GHS-TB(LF)(SN),"Connector Header, GH Series, 8 Position, 1.25mm, 30-26 AWG, 50V, Surface Mount, Right Angle, Solder, Locking Ramp",,JST,SM08B-GHS-TB(LF)(SN),,0,https://PARTSBOX.COM/I5X2R058GY4HKHAB5CCT4XY53M8,,
RCHIP-255R-0402 (RC0402FR-07255RL),Res Thick Film 0402 255 Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R,,Yageo,RC0402FR-07255RL,Office 9,10000,https://PARTSBOX.COM/I7EK1HE2N1MJMB9STP6BR5ERJRS,,
NLABEL-CW1200-FRONTPANEL,Front-Panel Label,,The Print House (Branch 059 - Halifax),,shelf3,57,https://PARTSBOX.COM/I5WZVQ8YWJGH0MBEYCWBZ1DP57K,,
CCHIP-10n-0603-50V_B (VJ0603Y103JXAAC),0603 10 nF 50 V ±5 % Tolerance X7R SMT Multilayer Ceramic Chip Capacitor,,Vishay,VJ0603Y103JXAAC,Office 9,1790,https://PARTSBOX.COM/ICZTN0PGZBMJ0TB4238GPEP9C7S,"CCHIP-10n-0603,CCHIP-10n-0603-50V",
920-0179-01,"Jumper Wire Female 5"" 100PCS (PURPLE)",,SchmartBoard,920-0179-01,shelf4,426,https://PARTSBOX.COM/IDM2FBGS46YGVR8225QTN6X95DB,,
UUD1C221MCL,,,Nichicon,UUD1C221MCL,Office 9,63,https://PARTSBOX.COM/I7ZDSP5C62AKZJA2DT05WWAAMK6,,
NLABEL-PHYWHISPERERUSB-BOTTOM,PhyWhisperer-USB Belly (Bottom) Label - needs date code update when reprint(!),,The Print House (Branch 059 - Halifax),,packaging area,58,https://PARTSBOX.COM/I8C8AKMEDMCJEDBY3TARE5N28W1,,
XAL7070-122MEC,"Power inductor, shielded, 20% tol, SMT, RoHS, halogen f",,Coilcraft,XAL7070-122MEC,Office 9,30,https://PARTSBOX.COM/I9YH4WYPV4PHAS8FXJHMXHB89WM,,
CCHIP-10u-0603-16V (GRM188R61C106KAALD),GRM Series 0603 10 uF 16 V ±10% X5R Monolithic Ceramic Capacitor,603,Murata,GRM188R61C106KAALD,,0,https://PARTSBOX.COM/IF9C3QPX51YJED8YYX38XXEQZKJ,,
